E,R
1.12709090909091,0.261917
1.12811646951774,0.261166
1.12914389799636,0.260545
1.13017319963537,0.25994
1.13120437956204,0.259005
1.13223744292237,0.257799
1.13327239488117,0.256741
1.13430924062214,0.255392
1.13534798534799,0.254156
1.13638863428048,0.252919
1.13743119266055,0.25083
1.13847566574839,0.249182
1.13952205882353,0.247352
1.14057037718491,0.245823
1.14162062615101,0.243732
1.14267281105991,0.241731
1.14372693726937,0.239437
1.14478301015697,0.237374
1.14584103512015,0.235326
1.14690101757632,0.233057
1.14796296296296,0.230739
1.14902687673772,0.228572
1.15009276437848,0.226457
1.15116063138347,0.223922
1.15223048327138,0.221717
1.1533023255814,0.218947
1.15437616387337,0.21635
1.15545200372787,0.214103
1.15652985074627,0.211598
1.15760971055089,0.20924
1.15869158878505,0.206353
1.15977549111319,0.204076
1.16086142322097,0.201436
1.16194939081537,0.198717
1.16303939962477,0.19595
1.16413145539906,0.19331
1.16522556390977,0.190686
1.16632173095014,0.187978
1.16741996233522,0.185028
1.16852026390198,0.182512
1.16962264150943,0.179553
1.17072710103872,0.176732
1.17183364839319,0.17397
1.17294228949858,0.170712
1.17405303030303,0.167816
1.17516587677725,0.1648
1.17628083491461,0.161603
1.17739791073124,0.158695
1.17851711026616,0.155653
1.17963843958135,0.152821
1.1807619047619,0.150043
1.18188751191611,0.14717
1.18301526717557,0.144541
1.18414517669532,0.141682
1.18527724665392,0.138649
1.18641148325359,0.13622
1.18754789272031,0.133512
1.18868648130393,0.131291
1.18982725527831,0.128551
1.1909702209414,0.12629
1.19211538461538,0.124261
1.19326275264678,0.121936
1.19441233140655,0.119968
1.19556412729026,0.118047
1.19671814671815,0.115814
1.19787439613527,0.113468
1.19903288201161,0.111598
1.20019361084221,0.110136
1.20135658914729,0.108589
1.20252182347236,0.106864
1.20368932038835,0.105333
1.20485908649174,0.104201
1.20603112840467,0.102811
1.20720545277507,0.101496
1.2083820662768,0.100282
1.20956097560976,0.099471
1.2107421875,0.09861
1.2119257086999,0.097773
1.21311154598826,0.097398
1.21429970617042,0.096394
1.21549019607843,0.095605
1.21668302257115,0.095409
1.21787819253438,0.095603
1.21907571288102,0.095239
1.22027559055118,0.094741
1.22147783251232,0.094884
1.22268244575937,0.094959
1.22388943731491,0.095393
1.22509881422925,0.095819
1.22631058358061,0.096618
1.22752475247525,0.097037
1.22874132804757,0.097821
1.22996031746032,0.098898
1.23118172790467,0.10002
1.2324055666004,0.101077
1.23363184079602,0.101812
1.23486055776892,0.103126
1.23609172482552,0.104455
1.2373253493014,0.105928
1.23856143856144,0.107629
1.2398,0.109801
1.24104104104104,0.112135
1.24228456913828,0.11398
1.24353059177533,0.116243
1.24477911646586,0.118303
1.24603015075377,0.120019
1.24728370221328,0.121959
1.24853977844914,0.124975
1.24979838709677,0.127506
1.2510595358224,0.130079
1.25232323232323,0.132579
1.2535894843276,0.135012
1.25485829959514,0.138166
1.25612968591692,0.141158
1.25740365111562,0.144531
1.25868020304569,0.147595
1.2599593495935,0.150709
1.26124109867752,0.153697
1.26252545824847,0.156298
1.2638124362895,0.159871
1.26510204081633,0.163016
1.26639427987743,0.166312
1.26768916155419,0.170413
1.26898669396111,0.173698
1.2702868852459,0.176668
1.27158974358974,0.179715
1.27289527720739,0.182434
1.27420349434738,0.185426
1.27551440329218,0.188857
1.27682801235839,0.191697
1.27814432989691,0.194315
1.27946336429309,0.197035
1.28078512396694,0.199819
1.28210961737332,0.202369
1.28343685300207,0.204687
1.28476683937824,0.208021
1.28609958506224,0.210684
1.28743509865005,0.213543
1.28877338877339,0.216191
1.2901144640999,0.218381
1.29145833333333,0.221229
1.29280500521376,0.223699
1.29415448851775,0.226066
1.29550679205852,0.228499
1.29686192468619,0.231032
1.29821989528796,0.233112
1.29958071278826,0.235075
1.300944386149,0.237847
1.30231092436975,0.240201
1.30368033648791,0.242614
1.30505263157895,0.244884
1.30642781875659,0.246994
1.307805907173,0.248112
1.30918690601901,0.249269
1.31057082452431,0.250518
1.31195767195767,0.251643
1.31334745762712,0.253165
1.31474019088017,0.254214
1.31613588110403,0.254906
1.31753453772582,0.256341
1.31893617021277,0.257209
1.32034078807242,0.257634
1.32174840085288,0.258758
1.32315901814301,0.260392
